Category: All categories

Week,cherry blossom: (British Columbia)
2021-01-03,2
2021-01-10,4
2021-01-17,6
2021-01-24,9
2021-01-31,6
2021-02-07,9
2021-02-14,6
2021-02-21,7
2021-02-28,20
2021-03-07,17
2021-03-14,25
2021-03-21,35
2021-03-28,63
2021-04-04,100
2021-04-11,49
2021-04-18,45
2021-04-25,22
2021-05-02,7
2021-05-09,15
2021-05-16,15
2021-05-23,15
2021-05-30,4
2021-06-06,4
2021-06-13,7
2021-06-20,6
2021-06-27,2
2021-07-04,8
2021-07-11,8
2021-07-18,6
2021-07-25,4
2021-08-01,6
2021-08-08,4
2021-08-15,0
2021-08-22,2
2021-08-29,2
2021-09-05,4
2021-09-12,2
2021-09-19,4
2021-09-26,2
2021-10-03,8
2021-10-10,4
2021-10-17,0
2021-10-24,4
2021-10-31,6
2021-11-07,4
2021-11-14,8
2021-11-21,1
2021-11-28,12
2021-12-05,10
2021-12-12,1
2021-12-19,0
2021-12-26,4
