Category: All categories

Week,cherry blossom: (British Columbia)
2013-01-06,0
2013-01-13,7
2013-01-20,17
2013-01-27,25
2013-02-03,10
2013-02-10,10
2013-02-17,10
2013-02-24,15
2013-03-03,21
2013-03-10,25
2013-03-17,58
2013-03-24,66
2013-03-31,100
2013-04-07,49
2013-04-14,26
2013-04-21,53
2013-04-28,52
2013-05-05,11
2013-05-12,16
2013-05-19,5
2013-05-26,10
2013-06-02,5
2013-06-09,5
2013-06-16,5
2013-06-23,0
2013-06-30,5
2013-07-07,26
2013-07-14,5
2013-07-21,15
2013-07-28,5
2013-08-04,10
2013-08-11,5
2013-08-18,10
2013-08-25,0
2013-09-01,5
2013-09-08,19
2013-09-15,5
2013-09-22,14
2013-09-29,24
2013-10-06,19
2013-10-13,5
2013-10-20,0
2013-10-27,14
2013-11-03,14
2013-11-10,9
2013-11-17,14
2013-11-24,9
2013-12-01,9
2013-12-08,5
2013-12-15,15
2013-12-22,0
2013-12-29,15
