Category: All categories

Week,cherry blossom: (British Columbia)
2017-01-01,7
2017-01-08,3
2017-01-15,0
2017-01-22,7
2017-01-29,7
2017-02-05,10
2017-02-12,10
2017-02-19,0
2017-02-26,16
2017-03-05,13
2017-03-12,10
2017-03-19,31
2017-03-26,50
2017-04-02,72
2017-04-09,100
2017-04-16,80
2017-04-23,27
2017-04-30,33
2017-05-07,7
2017-05-14,7
2017-05-21,8
2017-05-28,7
2017-06-04,4
2017-06-11,7
2017-06-18,10
2017-06-25,4
2017-07-02,0
2017-07-09,7
2017-07-16,7
2017-07-23,4
2017-07-30,7
2017-08-06,7
2017-08-13,3
2017-08-20,17
2017-08-27,10
2017-09-03,7
2017-09-10,7
2017-09-17,10
2017-09-24,3
2017-10-01,3
2017-10-08,3
2017-10-15,3
2017-10-22,3
2017-10-29,7
2017-11-05,13
2017-11-12,10
2017-11-19,3
2017-11-26,3
2017-12-03,3
2017-12-10,3
2017-12-17,0
2017-12-24,0
2017-12-31,17
